timestamp,session_id,level_number,value
1770300987.305,270,3,"(558.0, 31.0)"
1770300987.316,270,3,"(558.0, 31.0)"
1770300987.327,270,3,"(558.0, 31.0)"
1770300987.337,270,3,"(558.0, 31.0)"
1770300987.348,270,3,"(558.0, 31.0)"
1770300987.36,270,3,"(558.0, 31.0)"
1770300987.37,270,3,"(558.0, 31.0)"
1770300987.382,270,3,"(558.0, 31.0)"
1770300987.394,270,3,"(558.0, 31.0)"
1770300987.405,270,3,"(558.0, 31.0)"
1770300987.415,270,3,"(558.0, 31.0)"
1770300987.428,270,3,"(558.0, 31.0)"
1770300987.438,270,3,"(558.0, 31.0)"
1770300987.449,270,3,"(558.0, 31.0)"
1770300987.461,270,3,"(558.0, 31.0)"
1770300987.471,270,3,"(558.0, 31.0)"
1770300987.482,270,3,"(558.0, 31.0)"
1770300987.495,270,3,"(558.0, 31.0)"
1770300987.505,270,3,"(558.0, 31.0)"
1770300987.515,270,3,"(558.0, 31.0)"
1770300987.528,270,3,"(558.0, 31.0)"
1770300987.538,270,3,"(558.0, 31.0)"
1770300987.548,270,3,"(558.0, 31.0)"
1770300987.558,270,3,"(558.0, 31.0)"
1770300987.568,270,3,"(558.0, 31.0)"
1770300987.579,270,3,"(558.0, 31.0)"
1770300987.589,270,3,"(558.0, 31.0)"
1770300987.599,270,3,"(558.0, 31.0)"
1770300987.61,270,3,"(558.0, 31.0)"
1770300987.621,270,3,"(558.0, 31.0)"
1770300987.632,270,3,"(558.0, 31.0)"
1770300987.642,270,3,"(558.0, 31.0)"
1770300987.653,270,3,"(558.0, 31.0)"
1770300987.663,270,3,"(558.0, 31.0)"
1770300987.673,270,3,"(558.0, 31.0)"
1770300987.684,270,3,"(558.0, 31.0)"
1770300987.695,270,3,"(558.0, 31.0)"
1770300987.706,270,3,"(558.0, 31.0)"
1770300987.716,270,3,"(558.0, 31.0)"
1770300987.726,270,3,"(558.0, 31.0)"
1770300987.736,270,3,"(558.0, 31.0)"
1770300987.747,270,3,"(558.0, 31.0)"
1770300987.757,270,3,"(558.0, 31.0)"
1770300987.768,270,3,"(558.0, 31.0)"
1770300987.779,270,3,"(558.0, 31.0)"
1770300987.789,270,3,"(558.0, 31.0)"
1770300987.8,270,3,"(558.0, 31.0)"
1770300987.81,270,3,"(558.0, 31.0)"
1770300987.821,270,3,"(558.0, 31.0)"
1770300987.832,270,3,"(558.0, 31.0)"
1770300987.842,270,3,"(558.0, 31.0)"
1770300987.853,270,3,"(558.0, 31.0)"
1770300987.865,270,3,"(558.0, 31.0)"
1770300987.876,270,3,"(558.0, 31.0)"
1770300987.886,270,3,"(558.0, 31.0)"
1770300987.898,270,3,"(558.0, 31.0)"
1770300987.909,270,3,"(558.0, 31.0)"
1770300987.92,270,3,"(558.0, 31.0)"
1770300987.93,270,3,"(558.0, 31.0)"
1770300987.941,270,3,"(558.0, 31.0)"
1770300987.952,270,3,"(558.0, 31.0)"
1770300987.962,270,3,"(558.0, 47.0)"
1770300987.973,270,3,"(558.0, 47.0)"
1770300987.983,270,3,"(558.0, 63.0)"
1770300987.993,270,3,"(558.0, 63.0)"
1770300988.003,270,3,"(558.0, 63.0)"
1770300988.016,270,3,"(558.0, 63.0)"
1770300988.027,270,3,"(558.0, 63.0)"
1770300988.038,270,3,"(558.0, 63.0)"
1770300988.049,270,3,"(558.0, 63.0)"
1770300988.059,270,3,"(558.0, 63.0)"
1770300988.069,270,3,"(558.0, 63.0)"
1770300988.08,270,3,"(558.0, 63.0)"
1770300988.091,270,3,"(558.0, 63.0)"
1770300988.101,270,3,"(558.0, 63.0)"
1770300988.112,270,3,"(558.0, 63.0)"
1770300988.123,270,3,"(558.0, 63.0)"
1770300988.135,270,3,"(558.0, 63.0)"
1770300988.146,270,3,"(558.0, 63.0)"
1770301009.095,270,4,"(558.0, 63.0)"
1770301009.105,270,4,"(558.0, 63.0)"
1770301009.117,270,4,"(558.0, 63.0)"
1770301009.128,270,4,"(558.0, 63.0)"
1770301009.138,270,4,"(558.0, 63.0)"
1770301009.148,270,4,"(558.0, 63.0)"
1770301009.161,270,4,"(558.0, 63.0)"
1770301009.171,270,4,"(558.0, 63.0)"
1770301009.182,270,4,"(558.0, 63.0)"
1770301009.194,270,4,"(558.0, 63.0)"
1770301009.205,270,4,"(558.0, 63.0)"
1770301009.215,270,4,"(558.0, 63.0)"
1770301009.227,270,4,"(558.0, 63.0)"
1770301009.238,270,4,"(558.0, 63.0)"
1770301009.248,270,4,"(558.0, 63.0)"
1770301009.26,270,4,"(558.0, 63.0)"
1770301009.271,270,4,"(558.0, 63.0)"
1770301009.282,270,4,"(558.0, 63.0)"
1770301009.294,270,4,"(558.0, 63.0)"
1770301009.305,270,4,"(558.0, 63.0)"
1770301009.315,270,4,"(558.0, 63.0)"
